,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2023-12-15 00:59:59,7.930625031167841e-08,7.528856788477138e-10,4.9391702539418614e-11,4.9391702539418614e-11
2023-12-15 01:14:59,7.987775741474522e-08,7.335828694964088e-10,4.538435230426076e-11,4.538435230426076e-11
2023-12-15 01:29:59,7.873977682076988e-08,6.949523433182142e-10,3.678630977730265e-11,3.678630977730265e-11
2023-12-15 01:44:59,8.029105768481105e-08,7.04671239721476e-10,3.81633409555994e-11,3.81633409555994e-11
2023-12-15 01:59:59,8.101464569614895e-08,7.106503925062659e-10,3.9642775303540114e-11,3.9642775303540114e-11
2023-12-15 02:14:59,7.669503864485488e-08,7.051969366587211e-10,3.899594200563048e-11,3.899594200563048e-11
2023-12-15 02:29:59,7.537483031601389e-08,6.839433135989869e-10,3.789309638229809e-11,3.789309638229809e-11
2023-12-15 02:44:59,8.124641243981377e-08,7.854127862920523e-10,4.9550904315243215e-11,4.9550904315243215e-11
2023-12-15 02:59:59,8.340492066099874e-08,7.960218005377364e-10,5.3141003463789184e-11,5.3141003463789184e-11
2023-12-15 03:14:59,8.675937167891084e-08,7.615576773242157e-10,4.7298694772458004e-11,4.7298694772458004e-11
2023-12-15 03:29:59,8.347880555989343e-08,6.879181501158467e-10,3.064314560471014e-11,3.064314560471014e-11
2023-12-15 03:44:59,8.384813220482776e-08,6.813910549780395e-10,3.411922640281937e-11,3.411922640281937e-11
2023-12-15 03:59:59,8.318303890399441e-08,6.716391839492864e-10,3.3141404211821365e-11,3.3141404211821365e-11
2023-12-15 04:14:59,8.620651816798356e-08,6.563731860730485e-10,3.674092261175447e-11,3.674092261175447e-11
2023-12-15 04:29:59,8.124207659576408e-08,6.68914707837717e-10,4.2399255175395894e-11,4.2399255175395894e-11
2023-12-15 04:44:59,8.168147277258434e-08,6.761907365455741e-10,4.566409421499344e-11,4.566409421499344e-11
2023-12-15 04:59:59,8.673067157920938e-08,6.785276225584641e-10,4.892357848773e-11,4.892357848773e-11
2023-12-15 05:14:59,8.608322771031924e-08,6.757569528693244e-10,4.280325182693401e-11,4.280325182693401e-11
2023-12-15 05:29:59,8.670859161719877e-08,6.418807465953773e-10,2.9250707743234095e-11,2.9250707743234095e-11
2023-12-15 05:44:59,8.13846244618232e-08,6.266647487173934e-10,2.2520333290026853e-11,2.2520333290026853e-11
2023-12-15 05:59:59,8.659640225708431e-08,6.096226785698338e-10,1.9261966909007307e-11,1.9261966909007307e-11
2023-12-15 06:14:59,8.979397338962476e-08,5.86662529455563e-10,1.92836277899095e-11,1.92836277899095e-11
2023-12-15 06:29:59,9.510044187174559e-08,5.592762628905802e-10,2.0295942586213627e-11,2.0295942586213627e-11
2023-12-15 06:44:59,9.544062716581441e-08,5.303757523159294e-10,2.1610878616770302e-11,2.1610878616770302e-11
2023-12-15 06:59:59,9.765833624851669e-08,5.443056863127074e-10,2.2571559235719024e-11,2.2571559235719024e-11
2023-12-15 07:14:59,9.55893907825643e-08,5.183160925278008e-10,2.2488481836522487e-11,2.2488481836522487e-11
2023-12-15 07:29:59,9.570101240396019e-08,4.997119558744473e-10,2.0695166530970707e-11,2.0695166530970707e-11
2023-12-15 07:44:59,1.0141817760880564e-07,4.884264673263055e-10,1.8408329861067397e-11,1.8408329861067397e-11
2023-12-15 07:59:59,1.0486967011611932e-07,4.905840840157116e-10,1.774845693901687e-11,1.774845693901687e-11
2023-12-15 08:14:59,1.0283627632244905e-07,5.047663519356862e-10,1.802550217136624e-11,1.802550217136624e-11
2023-12-15 08:29:59,1.0200995695794984e-07,5.444502015882752e-10,2.1522855100163685e-11,2.1522855100163685e-11
2023-12-15 08:44:59,1.0885337357536347e-07,5.533282165861643e-10,2.1856700570987342e-11,2.1856700570987342e-11
2023-12-15 08:59:59,1.1006274966366078e-07,5.279495197128482e-10,1.64636768167667e-11,1.64636768167667e-11
2023-12-15 09:14:59,1.1202043196728956e-07,6.125838817639454e-10,2.0160247406101125e-11,2.0160247406101125e-11
2023-12-15 09:29:59,1.1729772198682527e-07,6.552868355956238e-10,3.1319836049285124e-11,3.1319836049285124e-11
2023-12-15 09:44:59,1.2100826002930505e-07,8.238131448960769e-10,3.296467203048623e-11,3.296467203048623e-11
2023-12-15 09:59:59,1.28175047763376e-07,8.674534428675361e-10,2.666476801769009e-11,2.666476801769009e-11
2023-12-15 10:14:59,1.293186008843992e-07,8.655142546188466e-10,2.9235048251213283e-11,2.9235048251213283e-11
2023-12-15 10:29:59,1.3373210527490354e-07,9.51375989155014e-10,3.522935162910245e-11,3.522935162910245e-11
